sequence_of_nodes,cost
"-1,403,757,896,1757,1896,1403,-2",879.2771100278062
"-1,7,67,1067,1007,-2",788.6208953421484
"-1,325,425,159,1159,1325,1425,-2",724.7387110772885
"-1,706,839,178,1706,1839,1178,-2",1329.7847907695834
"-1,278,285,1285,1278,-2",1018.1656369374648
"-1,883,908,759,1883,1759,1908,-2",1949.1461162331811
"-1,529,61,17,1017,1529,1061,-2",1920.3525626847052
"-1,349,856,624,1349,1856,1624,-2",2317.1377909811467
"-1,980,81,584,1584,1081,1980,-2",1374.9309962185007
"-1,55,669,664,1664,1669,1055,-2",1587.7710088685176
"-1,58,214,226,1214,1226,1058,-2",2128.395483492285
"-1,468,611,483,1483,1468,1611,-2",1813.5115903756875
"-1,572,102,889,1889,1572,1102,-2",1568.4765574991904
"-1,907,964,768,1964,1907,1768,-2",1084.9775517536139
"-1,790,798,170,1798,1170,1790,-2",1534.8648563360039
"-1,127,823,656,1823,1656,1127,-2",1379.9422524880697
"-1,582,860,113,1113,1582,1860,-2",1491.0928525871554
"-1,145,44,693,1693,1145,1044,-2",1228.145240629095
"-1,103,119,1119,1103,-2",709.6507375792439
"-1,715,755,164,1164,1715,1755,-2",2653.771017267933
"-1,915,249,819,1249,1915,1819,-2",2023.8604880827975
"-1,360,574,973,1973,1360,1574,-2",2189.456511413604
"-1,500,618,220,1220,1618,1500,-2",1712.3512991959583
"-1,471,982,590,1982,1590,1471,-2",2245.4971736052557
"-1,381,694,708,1708,1694,1381,-2",1702.7410595895342
"-1,318,393,534,1318,1534,1393,-2",1864.1655524751952
"-1,971,435,440,1440,1971,1435,-2",2155.731304406809
"-1,397,921,566,1397,1566,1921,-2",1812.4713437154182
"-1,33,319,52,1052,1319,1033,-2",1908.2577851098872
"-1,565,543,541,1541,1543,1565,-2",1417.878389639985
"-1,370,398,338,1338,1398,1370,-2",2362.0817560432806
"-1,426,23,9,1009,1426,1023,-2",1839.3338428938039
"-1,132,816,154,1154,1816,1132,-2",1929.611638238982
"-1,169,699,716,1169,1716,1699,-2",1556.8022068710936
"-1,465,401,431,1431,1465,1401,-2",1371.3992569203203
"-1,968,254,775,1775,1968,1254,-2",875.2921238057402
"-1,1,635,581,1581,1001,1635,-2",2882.7986764331495
"-1,168,151,783,1783,1168,1151,-2",2462.5419336973446
"-1,327,228,497,1327,1497,1228,-2",2043.982319345616
"-1,355,593,537,1593,1355,1537,-2",2110.852505297008
"-1,890,274,165,1274,1890,1165,-2",2537.266486842369
"-1,344,88,680,1344,1088,1680,-2",2061.4856248695132
"-1,54,569,10,1010,1054,1569,-2",1987.6340754731195
"-1,638,185,903,1903,1638,1185,-2",1929.7239475041602
"-1,516,858,456,1858,1456,1516,-2",2250.637365134784
