         370323934 function calls (362937658 primitive calls) in 471.740 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.045    0.001    0.060    0.001 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:745(value)
   126979    0.040    0.000    0.141    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\utilities.py:19(value)
    47773    0.036    0.000    0.160    0.000 {method 'min' of 'numpy.ndarray' objects}
      178    0.035    0.000    0.035    0.000 {built-in method _io.open}
      708    0.032    0.000    0.097    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       58    0.032    0.001    4.040    0.070 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_rmp.py:108(solve)
    45490    0.031    0.000    0.031    0.000 {method 'translate' of 'str' objects}
   137433    0.029    0.000    0.029    0.000 {method 'split' of 'str' objects}
    47773    0.029    0.000    0.107    0.000 {method 'all' of 'numpy.ndarray' objects}
    47773    0.029    0.000    0.114    0.000 {method 'sum' of 'numpy.ndarray' objects}
   126920    0.026    0.000    0.027    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\mps_lp.py:302(writeMPSBoundLines)
    45431    0.026    0.000    0.069    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:183(setName)
      380    0.025    0.000    0.203    0.001 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:115(_compute_action_reduced_costs)
   143767    0.020    0.000    0.020    0.000 {built-in method numpy.asarray}
       59    0.020    0.000    1.334    0.023 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1845(writeMPS)
   126979    0.019    0.000    0.032    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\utilities.py:14(isNumber)
    45431    0.019    0.000    0.092    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:200(__init__)
    47773    0.018    0.000    0.125    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:43(_amin)
       93    0.018    0.000    0.042    0.000 {method 'sort' of 'list' objects}
    45431    0.018    0.000    0.110    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:285(__init__)
    47773    0.016    0.000    0.079    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:61(_all)
   289788    0.016    0.000    0.016    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:78(<lambda>)
   126920    0.016    0.000    0.025    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1702(<lambda>)
     1107    0.016    0.000    0.016    0.000 {built-in method _codecs.charmap_decode}
      280    0.014    0.000    0.456    0.002 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_rmp.py:473(_swap)
    47773    0.014    0.000    0.085    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_methods.py:47(_sum)
       59    0.014    0.000    0.189    0.003 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1916(assignVarsVals)
    45431    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
    45410    0.013    0.000    0.148    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:944(__iadd__)
       59    0.013    0.000    0.169    0.003 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1922(assignVarsDj)
       99    0.012    0.000    0.050    0.001 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_rmp.py:565(_add_route)
      932    0.011    0.000    0.012    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\pgm_approach.py:69(generate_cost_exog_vector)
       42    0.011    0.000    0.015    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_rmp.py:39(get_forbidden_omega)
      932    0.010    0.000    0.016    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\pgm_approach.py:136(generate_all_node_pairs_ordered)
    60939    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
      295    0.010    0.000    0.010    0.000 {method 'join' of 'str' objects}
      178    0.009    0.000    0.009    0.000 {method '__exit__' of '_io._IOBase' objects}
     3339    0.009    0.000    0.100    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:1718(addConstraint)
   126920    0.009    0.000    0.009    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:469(value)
      932    0.008    0.000    0.010    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\pgm_approach.py:80(generate_states_nodes_actions_ordered)
